codeWilaya,Wilaya,MoughataaFr,Commune,Center,bureau,Candidat,Wilaya_ar,MoughataaAr,Commune_ar,Center_ar,bureau_ar,CandidatAr,Type,TypeAr,nbr_Inscrits,nb_bulletin,nb_votant_neutre,nb_votant_null,nb_vote
00,Etranger,Afrique,Côte d'Ivoire,Abidjan Yopougon,Abidjan Yopougon  01,Hamadi Sid’El Moctar Mohamed Abdi,الخارج,إفريقيا,ساحل العاج,ابدجان يوبوقوه,ابدجان يوبوقوه  01,حمادى  سيد المختار محمد عبدى,Présidentielles,الرئاسية,748,339,10,7,91
00,Etranger,Afrique,Côte d'Ivoire,Abidjan Yopougon,Abidjan Yopougon  01,Outouma Antoine Souleymane Soumaré,الخارج,إفريقيا,ساحل العاج,ابدجان يوبوقوه,ابدجان يوبوقوه  01,أوتوما أنتوان  سليمان سومارى,Présidentielles,الرئاسية,748,339,10,7,2
00,Etranger,Afrique,Côte d'Ivoire,Abidjan Yopougon,Abidjan Yopougon  01,Mamadou Bocar Ba,الخارج,إفريقيا,ساحل العاج,ابدجان يوبوقوه,ابدجان يوبوقوه  01,مامادو  بوكار با,Présidentielles,الرئاسية,748,339,10,7,0
00,Etranger,Afrique,Côte d'Ivoire,Abidjan Yopougon,Abidjan Yopougon  01,El Id Mohameden M’Bareck,الخارج,إفريقيا,ساحل العاج,ابدجان يوبوقوه,ابدجان يوبوقوه  01,العيد  محمدن امبارك,Présidentielles,الرئاسية,748,339,10,7,1
00,Etranger,Afrique,Côte d'Ivoire,Abidjan Yopougon,Abidjan Yopougon  01,Biram Dah  Abeid,الخارج,إفريقيا,ساحل العاج,ابدجان يوبوقوه,ابدجان يوبوقوه  01,بيرام الداه    اعبيد,Présidentielles,الرئاسية,748,339,10,7,154
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Abobo,Abidjan-Abobo  01,Mohamed Cheikh Ghazouani,الخارج,إفريقيا,ساحل العاج,ابدجان ابوبو,ابدجان ابوبو  01,محمد   الشيخ الغزواني,Présidentielles,الرئاسية,637,321,5,11,54
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Abobo,Abidjan-Abobo  01,Mohamed Lemine El Mourteji  El Wavi,الخارج,إفريقيا,ساحل العاج,ابدجان ابوبو,ابدجان ابوبو  01,محمد الامين  المرتجي الوافي,Présidentielles,الرئاسية,637,321,5,11,1
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Abobo,Abidjan-Abobo  01,Hamadi Sid’El Moctar Mohamed Abdi,الخارج,إفريقيا,ساحل العاج,ابدجان ابوبو,ابدجان ابوبو  01,حمادى  سيد المختار محمد عبدى,Présidentielles,الرئاسية,637,321,5,11,57
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Abobo,Abidjan-Abobo  01,Outouma Antoine Souleymane Soumaré,الخارج,إفريقيا,ساحل العاج,ابدجان ابوبو,ابدجان ابوبو  01,أوتوما أنتوان  سليمان سومارى,Présidentielles,الرئاسية,637,321,5,11,0
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Abobo,Abidjan-Abobo  01,Mamadou Bocar Ba,الخارج,إفريقيا,ساحل العاج,ابدجان ابوبو,ابدجان ابوبو  01,مامادو  بوكار با,Présidentielles,الرئاسية,637,321,5,11,0
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Abobo,Abidjan-Abobo  01,El Id Mohameden M’Bareck,الخارج,إفريقيا,ساحل العاج,ابدجان ابوبو,ابدجان ابوبو  01,العيد  محمدن امبارك,Présidentielles,الرئاسية,637,321,5,11,2
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Abobo,Abidjan-Abobo  01,Biram Dah  Abeid,الخارج,إفريقيا,ساحل العاج,ابدجان ابوبو,ابدجان ابوبو  01,بيرام الداه    اعبيد,Présidentielles,الرئاسية,637,321,5,11,191
00,Etranger,Afrique,Côte d'Ivoire,interieur-Bouake,interieur-Bouake  01,Mohamed Cheikh Ghazouani,الخارج,إفريقيا,ساحل العاج,بواكي,بواكي  01,محمد   الشيخ الغزواني,Présidentielles,الرئاسية,329,153,0,13,7
00,Etranger,Afrique,Côte d'Ivoire,interieur-Bouake,interieur-Bouake  01,Mohamed Lemine El Mourteji  El Wavi,الخارج,إفريقيا,ساحل العاج,بواكي,بواكي  01,محمد الامين  المرتجي الوافي,Présidentielles,الرئاسية,329,153,0,13,1
00,Etranger,Afrique,Côte d'Ivoire,interieur-Bouake,interieur-Bouake  01,Hamadi Sid’El Moctar Mohamed Abdi,الخارج,إفريقيا,ساحل العاج,بواكي,بواكي  01,حمادى  سيد المختار محمد عبدى,Présidentielles,الرئاسية,329,153,0,13,45
00,Etranger,Afrique,Côte d'Ivoire,interieur-Bouake,interieur-Bouake  01,Outouma Antoine Souleymane Soumaré,الخارج,إفريقيا,ساحل العاج,بواكي,بواكي  01,أوتوما أنتوان  سليمان سومارى,Présidentielles,الرئاسية,329,153,0,13,14
00,Etranger,Afrique,Côte d'Ivoire,interieur-Bouake,interieur-Bouake  01,Mamadou Bocar Ba,الخارج,إفريقيا,ساحل العاج,بواكي,بواكي  01,مامادو  بوكار با,Présidentielles,الرئاسية,329,153,0,13,2
00,Etranger,Afrique,Côte d'Ivoire,interieur-Bouake,interieur-Bouake  01,El Id Mohameden M’Bareck,الخارج,إفريقيا,ساحل العاج,بواكي,بواكي  01,العيد  محمدن امبارك,Présidentielles,الرئاسية,329,153,0,13,2
00,Etranger,Afrique,Côte d'Ivoire,interieur-Bouake,interieur-Bouake  01,Biram Dah  Abeid,الخارج,إفريقيا,ساحل العاج,بواكي,بواكي  01,بيرام الداه    اعبيد,Présidentielles,الرئاسية,329,153,0,13,69
00,Etranger,Afrique,Guinée Bissau,Bafata,Bafata  01,Mohamed Cheikh Ghazouani,الخارج,إفريقيا,غينيا بيساو,بافاتا,بافاتا  01,محمد   الشيخ الغزواني,Présidentielles,الرئاسية,317,102,0,5,61
00,Etranger,Afrique,Guinée Bissau,Bafata,Bafata  01,Mohamed Lemine El Mourteji  El Wavi,الخارج,إفريقيا,غينيا بيساو,بافاتا,بافاتا  01,محمد الامين  المرتجي الوافي,Présidentielles,الرئاسية,317,102,0,5,0
00,Etranger,Afrique,Guinée Bissau,Bafata,Bafata  01,Hamadi Sid’El Moctar Mohamed Abdi,الخارج,إفريقيا,غينيا بيساو,بافاتا,بافاتا  01,حمادى  سيد المختار محمد عبدى,Présidentielles,الرئاسية,317,102,0,5,25
00,Etranger,Afrique,Guinée Bissau,Bafata,Bafata  01,Outouma Antoine Souleymane Soumaré,الخارج,إفريقيا,غينيا بيساو,بافاتا,بافاتا  01,أوتوما أنتوان  سليمان سومارى,Présidentielles,الرئاسية,317,102,0,5,0
00,Etranger,Afrique,Guinée Bissau,Bafata,Bafata  01,Mamadou Bocar Ba,الخارج,إفريقيا,غينيا بيساو,بافاتا,بافاتا  01,مامادو  بوكار با,Présidentielles,الرئاسية,317,102,0,5,0
